observation_date,DTWEXBGS
2006-01-01,100.0000
2006-02-01,100.2112
2006-03-01,100.4281
2006-04-01,99.7435
2006-05-01,97.5118
2006-06-01,98.6927
2006-07-01,98.4387
2006-08-01,97.7138
2006-09-01,97.9814
2006-10-01,98.3157
2006-11-01,97.5133
2006-12-01,96.7951
2007-01-01,97.8338
2007-02-01,97.4764
2007-03-01,97.0118
2007-04-01,95.6322
2007-05-01,94.7225
2007-06-01,94.4449
2007-07-01,93.2059
2007-08-01,93.7603
2007-09-01,92.4366
2007-10-01,90.4002
2007-11-01,89.0530
2007-12-01,90.0050
2008-01-01,89.3971
2008-02-01,88.6434
2008-03-01,86.8399
2008-04-01,86.5475
2008-05-01,86.8245
2008-06-01,87.0728
2008-07-01,86.4538
2008-08-01,88.9450
2008-09-01,91.2651
2008-10-01,98.0400
2008-11-01,100.7667
2008-12-01,99.6622
2009-01-01,100.3521
2009-02-01,102.9737
2009-03-01,103.4397
2009-04-01,100.7162
2009-05-01,97.5519
2009-06-01,96.0426
2009-07-01,95.6606
2009-08-01,94.3730
2009-09-01,93.6638
2009-10-01,92.2598
2009-11-01,91.7996
2009-12-01,92.2586
2010-01-01,92.4403
2010-02-01,93.8867
2010-03-01,93.1499
2010-04-01,92.6391
2010-05-01,95.5306
2010-06-01,96.0606
2010-07-01,94.4547
2010-08-01,93.6822
2010-09-01,92.7626
2010-10-01,90.2291
2010-11-01,90.5095
2010-12-01,91.1835
2011-01-01,90.1112
2011-02-01,89.3967
2011-03-01,88.4872
2011-04-01,86.9214
2011-05-01,86.9464
2011-06-01,86.9413
2011-07-01,86.3178
2011-08-01,86.8982
2011-09-01,89.7253
2011-10-01,90.6098
2011-11-01,91.2649
2011-12-01,92.2056
2012-01-01,91.6463
2012-02-01,89.9605
2012-03-01,90.5112
2012-04-01,90.8156
2012-05-01,92.4928
2012-06-01,93.8809
2012-07-01,93.4062
2012-08-01,92.5283
2012-09-01,90.9802
2012-10-01,90.7566
2012-11-01,91.4751
2012-12-01,90.8804
2013-01-01,90.8255
2013-02-01,91.5509
2013-03-01,92.4132
2013-04-01,92.0478
2013-05-01,92.5290
2013-06-01,93.2836
2013-07-01,93.8724
2013-08-01,93.7149
2013-09-01,93.4706
2013-10-01,92.4993
2013-11-01,93.3737
2013-12-01,93.5340
2014-01-01,94.4647
2014-02-01,94.6456
2014-03-01,94.4408
2014-04-01,93.9956
2014-05-01,93.6700
2014-06-01,93.8274
2014-07-01,93.6039
2014-08-01,94.5808
2014-09-01,96.1209
2014-10-01,97.4396
2014-11-01,99.1147
2014-12-01,101.4441
2015-01-01,103.7607
2015-02-01,105.1685
2015-03-01,107.3647
2015-04-01,106.3523
2015-05-01,105.4065
2015-06-01,106.1790
2015-07-01,108.1236
2015-08-01,109.9767
2015-09-01,110.8513
2015-10-01,109.9036
2015-11-01,111.6916
2015-12-01,112.7857
2016-01-01,115.2344
2016-02-01,114.2817
2016-03-01,111.8934
2016-04-01,110.0171
2016-05-01,111.1405
2016-06-01,111.5596
2016-07-01,112.4773
2016-08-01,111.4384
2016-09-01,112.3169
2016-10-01,113.4747
2016-11-01,116.1075
2016-12-01,117.9048
2017-01-01,117.7858
2017-02-01,116.1204
2017-03-01,115.6558
2017-04-01,114.7698
2017-05-01,114.2591
2017-06-01,112.7603
2017-07-01,111.0606
2017-08-01,109.9059
2017-09-01,108.8542
2017-10-01,110.8892
2017-11-01,111.1635
2017-12-01,110.8758
2018-01-01,108.3567
2018-02-01,107.6501
2018-03-01,107.9473
2018-04-01,107.9428
2018-05-01,111.0460
2018-06-01,112.8435
2018-07-01,113.0594
2018-08-01,113.8309
2018-09-01,114.0783
2018-10-01,114.8301
2018-11-01,116.1678
2018-12-01,116.2111
2019-01-01,114.4403
2019-02-01,114.4106
2019-03-01,114.7823
2019-04-01,114.9024
2019-05-01,115.9570
2019-06-01,115.4279
2019-07-01,115.0785
2019-08-01,117.1020
2019-09-01,117.3256
2019-10-01,116.7479
2019-11-01,116.5605
2019-12-01,115.9107
2020-01-01,115.2786
2020-02-01,116.7095
2020-03-01,121.0285
2020-04-01,123.2894
2020-05-01,122.6238
2020-06-01,119.6846
2020-07-01,118.7004
2020-08-01,116.9576
2020-09-01,116.3534
2020-10-01,115.7882
2020-11-01,114.1033
2020-12-01,111.9051
2021-01-01,111.4953
2021-02-01,112.0275
2021-03-01,113.3497
2021-04-01,112.6426
2021-05-01,111.2252
2021-06-01,111.5888
2021-07-01,113.0721
2021-08-01,113.4124
2021-09-01,113.4532
2021-10-01,114.0758
2021-11-01,115.0036
2021-12-01,115.8172
2022-01-01,115.0507
2022-02-01,115.0057
2022-03-01,116.2984
2022-04-01,117.1702
2022-05-01,119.6926
2022-06-01,120.0269
2022-07-01,122.7609
2022-08-01,122.3262
2022-09-01,125.5999
2022-10-01,127.4828
2022-11-01,124.8627
2022-12-01,122.2476
2023-01-01,119.8133
2023-02-01,120.3366
2023-03-01,120.8071
2023-04-01,119.3744
2023-05-01,119.7956
2023-06-01,119.5789
2023-07-01,118.4119
2023-08-01,120.2177
2023-09-01,121.9827
2023-10-01,123.7914
2023-11-01,121.5369
2023-12-01,120.1585
2024-01-01,120.5769
2024-02-01,121.4155
2024-03-01,121.0413
2024-04-01,122.5142
2024-05-01,122.2444
2024-06-01,124.0309
2024-07-01,123.7208
2024-08-01,122.8802
2024-09-01,122.1296
2024-10-01,123.8310
2024-11-01,126.5329
2024-12-01,127.8140
2025-01-01,129.0413
2025-02-01,128.0665
2025-03-01,126.4864
2025-04-01,124.4557
2025-05-01,122.6869
2025-06-01,120.9747
2025-07-01,120.5266
2025-08-01,120.9844
2025-09-01,120.4534
2025-10-01,121.1712
